,PUSH,STEP_BACK,TURN_L_45,TURN_L_90,TURN_R_45,TURN_R_90,TURN_180
"[0, 0]",3.09945136071e-15,0.17616,8.34747165936e-07,0.00384323873474,0.000203138408161,0.0778202927936,0.141749951623
"[0, 3]",0.171113469788,0.0,0.00106517215642,0.0,0.022830336,0.004931352576,0.17616
"[3, 1]",0.204942175491,0.0,0.111236634556,0.0634176,0.0327514868122,0.0,0.0
"[1, 0]",0.0,0.00038346197631,0.293523034522,0.00276944760668,0.0,0.0,0.0
"[1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 3]",0.1479744,0.0,0.03805056,0.0,0.0,0.0,0.17616
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 4]",0.0,0.0,0.0,0.0,0.246624,0.0,0.0
"[2, 0]",0.0,0.0,0.17616,0.0,0.0,0.0,0.0
"[4, 2]",0.105696,0.0,0.0,0.17616,0.0,0.0634176,0.0
"[0, 2]",0.0,0.17616,0.0,0.0,0.0,0.0,0.0
"[3, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0
