,PUSH,STEP_BACK,TURN_L_45,TURN_L_90,TURN_R_45,TURN_R_90,TURN_180
"[0, 0]",-7.05561079724,-6.74553089946,-6.71363084104,-6.70045818776,-5.15691844395,-6.7348501587,-6.76382426011
"[0, 3]",-7.12060882424,-7.34592569249,-7.14737715915,-6.93608575411,-5.69474265239,-7.23228890387,-7.17643629261
"[1, 1]",-6.77968598018,-6.61965350731,-5.22313837236,-6.75832394816,-6.48160714896,-6.82211850011,-6.80060872503
"[1, 0]",-7.32922710414,-7.29608753007,-4.66615490522,-7.36995418975,-7.02366671429,-7.33227703046,-7.38729762496
"[3, 1]",-2.59463041922,-5.46020471383,-6.17305735302,-6.90890439149,-6.63369333386,-6.86209522621,-7.14343009189
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 0]",-2.3509442783,-1.45374642827,-0.237227717917,-2.29789755339,-2.87728164279,-3.45917301587,-3.29030774884
"[0, 2]",-1.25135386677,-0.3933952,-1.28277942,-1.32215401922,-0.84367017504,-0.920890066875,-1.35483964309
"[4, 2]",-0.533994365436,0.947919922256,-0.664858100744,-4.0145114801,-0.973500748876,-3.96095151651,-4.71743605744
"[4, 0]",-1.71568769616,-1.25137188531,-1.68474763797,-2.21726608286,-1.33650191726,-1.70672868764,-1.81079823348
"[3, 3]",-4.99912637865,-6.12160241504,-6.94885570933,-6.82353035482,-6.65229084078,-6.20192255259,-6.74047372968
"[0, 4]",-4.13219805372,-4.33882718411,-4.35168005666,-4.31847612347,-4.33329223472,-2.83536754992,-4.51081077377
"[4, 1]",-0.265010721391,-0.2,-1.30037157123,-0.705495621232,-1.09832745039,-1.41135386677,-1.36092747358
"[3, 2]",-1.25640141054,-1.16563562032,-1.1309625655,-2.33139858711,-1.1558767709,-1.53808691467,-1.15362851134
"[3, 0]",0.0,-0.2,0.0,0.0,0.0,0.0,-1.24669164202
