,PUSH,STEP_BACK,TURN_L_45,TURN_L_90,TURN_R_45,TURN_R_90,TURN_180
"[0, 0]",-6.83197018451,-6.76499333597,-6.76446556361,-6.62026998143,-6.7692617357,-6.77907311103,-6.29154603252
"[0, 3]",-6.01218334172,-5.95141142218,-6.15311022251,-6.08139672911,-5.32586856006,-6.01871908494,-6.0209602927
"[3, 1]",-4.67672840409,-5.73940759686,-6.01659821982,-5.89782189547,-5.84202871701,-5.95871298645,-5.89809538545
"[1, 0]",-5.85945573395,-5.78907386284,-5.10737839228,-5.84381497802,-5.78077604041,-5.92586115773,-5.78253771773
"[1, 1]",-5.6227848895,-5.60137918886,-5.5765351023,-5.6124452411,-5.63964908564,-5.59817736503,-5.61424010096
"[3, 3]",-5.60376743632,-5.58697773979,-6.02505819149,-5.65122503891,-5.38240638138,-5.64118766566,-5.60297037759
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 4]",-1.05854039494,-3.07825578107,-2.88109116856,-4.88626977612,-0.31563917891,-2.1338600644,-2.06063821472
"[2, 0]",-4.33370683919,-1.31434779778,0.383455897106,-2.09599039106,-4.32341174012,-1.92258139087,-3.22242504049
"[4, 2]",-1.22333254301,0.998660251254,-2.78696140159,-4.08596632442,-1.08678544346,-4.14712762798,-2.36958688313
"[0, 2]",-3.62792513229,-0.342533161279,-0.955482847631,-0.468110950316,-0.368159945615,-3.47763751409,-1.97035368567
"[3, 2]",0.0,-0.62708799703,-3.31224615228,-1.04607067514,-0.453461197664,-1.19600116213,-1.63370106513
"[4, 1]",0.0,-0.528708288941,-1.09285829063,-2.73968781993,-0.837754730914,-0.516013425835,-0.518334813496
"[4, 0]",0.0,-0.444863554949,-0.328389968331,0.0,-1.06271736506,0.0,0.0
"[3, 4]",0.0,0.0,-0.616169554561,0.0,0.0,0.0,0.0
